                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7281,                 1.6726,                 1.1029,                0.93737,                0.46653,                0.45006,                0.27179,                 1.3373,                  0.975,                0.98817,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.4978,                 1.0364,                 1.0367,                0.80631,                0.58075,                 0.6311,                0.32683,                  1.407,                0.82391,                0.98168,              0.0002253,              0.0002253,              0.0002253
                      3,                  1.448,                0.88401,                 1.0118,                 0.9262,                0.63079,                0.64859,                0.35566,                 1.3493,                0.83783,                0.97107,             0.00030749,             0.00030749,             0.00030749
                      4,                 1.5755,                0.87976,                 1.0487,                0.92967,                0.63742,                0.67851,                0.35456,                 1.3857,                  1.072,                0.98179,             0.00036329,             0.00036329,             0.00036329
                      5,                 1.4911,                 0.8312,                0.99092,                 0.9383,                0.62696,                0.67913,                 0.3689,                 1.3515,                0.86012,                  0.974,             0.00039268,             0.00039268,             0.00039268
                      6,                 1.5204,                0.83092,                 1.0249,                0.89399,                0.64997,                0.69415,                0.39228,                 1.3226,                0.84902,                0.97595,             0.00039566,             0.00039566,             0.00039566
                      7,                 1.4717,                 0.8005,                 1.0139,                0.89393,                0.63584,                0.69697,                0.35863,                 1.4169,                 0.7665,                0.99785,             0.00037224,             0.00037224,             0.00037224
                      8,                  1.396,                0.76928,                0.98632,                0.90784,                0.66228,                0.70127,                0.37914,                 1.3454,                0.70956,                0.97429,             0.00032241,             0.00032241,             0.00032241
                      9,                 1.3734,                0.72163,                0.97983,                0.88537,                0.70255,                0.72959,                0.38625,                 1.3145,                0.71843,                0.96694,             0.00024618,             0.00024618,             0.00024618
                     10,                 1.3787,                0.69233,                0.97727,                0.91165,                0.70383,                0.74423,                0.38905,                 1.3112,                0.67289,                 0.9657,             0.00014355,             0.00014355,             0.00014355
